skribb_word,num_candidates,present_candidates,missing_candidates,covered_by_any_candidate
aircraft,1,airplane,,1
airplane,1,airplane,,1
airport,1,airplane,,1
alarm,1,alarm clock,,1
angel,1,angel,,1
angry birds,1,bird,,1
ankle,1,toe,,1
ant,1,ant,,1
anteater,1,ant,,1
antelope,1,ant,,1
antenna,1,radio,,1
anthill,1,ant,,1
antlers,1,ant,,1
anvil,1,anvil,,1
apartment,1,house,,1
apple,1,apple,,1
aquarium,1,tank,,1
arm,1,arm,,1
armchair,1,chair,,1
armor,1,armor,,1
armpit,1,arm,,1
asteroid belt,1,belt,,1
atlantic,1,ocean,,1
atv,1,tractor,,1
axe,1,axe,,1
bacon,1,pig,,1
balcony,1,skyscraper,,1
bandage,1,bandage,,1
barack obama,1,bush,,1
baseball bat,1,baseball bat,,1
basket,1,basket,,1
basketball,1,basketball,,1
bat,1,bat,,1
bath,1,bathtub,,1
bathroom,1,toilet,,1
battleship,1,cruise ship,,1
bay,1,beach,,1
beach,1,beach,,1
bean,1,string bean,,1
beans,1,peas,,1
bear,1,bear,,1
bear trap,1,bear,,1
beard,1,beard,,1
bed,1,bed,,1
bed bug,1,bed,,1
bed sheet,1,bed,,1
bedroom,1,bed,,1
bedtime,1,bed,,1
beef,1,steak,,1
beetle,1,beetle,,1
bell,1,bell,,1
belt,1,belt,,1
bench,1,bench,,1
bench press,1,bench,,1
beret,1,pistol,,1
berlin wall,1,the great wall of china,,1
bible,1,book,,1
biceps,1,arm,,1
bicycle,1,bicycle,,1
biker,1,motorcycle,,1
billiards,1,pool,,1
bird,1,bird,,1
birdcage,1,bird,,1
birthday,1,birthday cake,,1
bite,1,mouth,,1
black belt,1,belt,,1
blackberry,1,blackberry,,1
blimp,1,blimp,,1
blossom,1,flower,,1
blowfish,1,fish,,1
blueberry,1,blueberry,,1
bmw,1,car,,1
board,1,skateboard,,1
board game,1,skateboard,,1
boat,1,sailboat,,1
book,1,book,,1
boomerang,1,boomerang,,1
boots,1,shoe,,1
bouquet,1,flower,,1
bracelet,1,bracelet,,1
brain,1,brain,,1
bread,1,bread,,1
breath,1,mouth,,1
bridge,1,bridge,,1
broadcast,1,radio,,1
broccoli,1,broccoli,,1
brush,1,toothbrush,,1
bugs bunny,1,rabbit,,1
building,1,skyscraper,,1
bulldozer,1,bulldozer,,1
bunk bed,1,bed,,1
bunny,1,rabbit,,1
burger king,1,hamburger,,1
bus,1,bus,,1
bus driver,1,bus,,1
bus stop,1,bus,,1
bus terminal,1,bus,,1
bush,1,bush,,1
butt cheeks,1,nose,,1
butterfly,1,butterfly,,1
cabin,1,cabin,,1
cable car,1,car,,1
cactus,1,cactus,,1
cage,1,parrot,,1
cake,1,cake,,1
calculator,1,calculator,,1
calendar,1,calendar,,1
calf,1,leg,,1
call,1,telephone,,1
camel,1,camel,,1
camera,1,camera,,1
cameraman,1,camera,,1
camp,1,campfire,,1
campfire,1,campfire,,1
camping,1,tent,,1
cannon,1,cannon,,1
canoe,1,canoe,,1
car,1,car,,1
car dealership,1,car,,1
car wash,1,washing machine,,1
caramel,1,watermelon,,1
card,1,postcard,,1
cargo,1,suitcase,,1
carrot,1,carrot,,1
carrot cake,1,carrot,,1
cat,1,cat,,1
cat woman,1,cat,,1
catan,1,cat,,1
caterpillar,1,butterfly,,1
catfish,1,fish,,1
cathedral,1,church,,1
ceiling,1,ceiling fan,,1
ceiling fan,1,ceiling fan,,1
cell phone,1,cell phone,,1
chair,1,chair,,1
chandelier,1,chandelier,,1
cheek,1,face,,1
cheeks,1,face,,1
cheese stick,1,hockey stick,,1
chevrolet,1,car,,1
chewing gum,1,tooth,,1
chicken,1,chicken,,1
chimney,1,fireplace,,1
christmas tree,1,tree,,1
church,1,church,,1
circle,1,circle,,1
clarinet,1,clarinet,,1
